FULL_FIPS,id,name,address,zip_code,city,state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code
14000US25017363102,1,Acton*,145 Great Road,1720,Acton,MA,42.482938,-71.412983,1,rooftop,145,Great Rd,Acton,MA,Middlesex County,1720,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2015,25,25017,2500310,363102,1003,1,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US12011110336,2,Pembroke Pines -,11960 Pines Blvd,33026,Pembroke Pines,FL,26.00598,-80.311002,1,rooftop,11960,Pines Blvd,Hollywood,FL,Broward County,33026,US,Broward,2015,12,12011,1232000,110336,1001,1,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370
14000US27053026403,3,Minnetonka,11220 Wayzata Blvd,55305,Minnetonka,MN,44.97341,-93.42272,1,rooftop,11220,Wayzata Blvd,Hopkins,MN,Hennepin County,55305,US,Hennepin,2015,27,27053,2730140,026403,1000,1,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,"Minneapolis-St. Paul, MN-WI",378
14000US17089850105,4,Algonquin,1800 South Randall Road,60102,Algonquin,IL,42.152858,-88.339798,0.8,rooftop,1800,Randall Rd,Algonquin,IL,Kane County,60102,US,Kane,2015,17,17089,1700685,850105,1008,1,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176
14000US25009208300,5,Saugus*,"358 Broadway, Unit B",1906,Saugus,MA,42.483514,-71.017595,1,rooftop,358,Broadway,Saugus,MA,Essex County,1906,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2015,25,25009,2560015,208300,4002,4,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US17031050600,6,Chicago,3745 North Lincoln Avenue,60613,Chicago,IL,41.950177,-87.675364,1,rooftop,3745,N Lincoln Ave,Chicago,IL,Cook County,60613,US,City of Chicago,2015,17,17031,1714000,050600,2002,2,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176
14000US27053026710,7,Maple Grove,12105 Elm Creek Blvd. N.,55369,Maple Grove,MN,45.092141,-93.433978,1,rooftop,12105,Elm Creek Blvd N,Osseo,MN,Hennepin County,55369,US,Hennepin,2015,27,27053,2749012,026710,5015,5,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,"Minneapolis-St. Paul, MN-WI",378
14000US26161405200,8,Ann Arbor,2398 East Stadium Blvd.,48104,Ann Arbor,MI,42.259479,-83.713591,1,range_interpolation,2398,E Stadium Blvd,Ann Arbor,MI,Washtenaw County,48104,US,TIGER/Line® dataset from the US Census Bureau,2015,26,26161,2603000,405200,3000,3,"Ann Arbor, MI",11460,metropolitan,"Detroit-Warren-Ann Arbor, MI",220
14000US36029009200,9,Amherst,1565 Niagara Falls Blvd,14228,Buffalo,NY,42.998461,-78.82226,1,rooftop,1565,Niagara Falls Blvd,Buffalo,NY,Erie County,14228,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2015,36,36029,3611000,009200,3003,3,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,metropolitan,"Buffalo-Cheektowaga, NY",160
14000US32003005843,10,Las Vegas (Summerlin West) –,2315 Summa Dr,89135,Las Vegas,NV,36.145631,-115.335115,1,rooftop,2315,Summa Dr,Las Vegas,NV,Clark County,89135,US,Las Vegas,2015,32,32003,3240000,005843,1009,1,"Las Vegas-Henderson-Paradise, NV",29820,metropolitan,"Las Vegas-Henderson, NV-AZ",332
14000US27163071010,11,Woodbury,8960 Hudson Road Ste. 801,55125,Woodbury,MN,44.943579,-92.92458,1,range_interpolation,8960,Hudson Rd,Saint Paul,MN,Washington County,55125,US,TIGER/Line® dataset from the US Census Bureau,2015,27,27163,2758000,071010,3004,3,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,"Minneapolis-St. Paul, MN-WI",378
14000US42091205400,12,Ardmore*,112 Coulter Avenue,19003,Ardmore,PA,40.007738,-75.28618,1,range_interpolation,112,Coulter Ave,Ardmore,PA,Montgomery County,19003,US,TIGER/Line® dataset from the US Census Bureau,2015,42,42091,4202896,205400,4008,4,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428
14000US34021004301,13,Princeton,3528 US 1 (Brunswick Pike),8540,Princeton,NJ,40.310433,-74.662971,1,rooftop,3528,Brunswick Pike,Princeton,NJ,Mercer County,8540,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2015,34,34021,3460900,004301,3027,3,"Trenton, NJ",45940,metropolitan,"New York-Newark, NY-NJ-CT-PA",408
14000US33011011102,14,Nashua,262 Daniel Webster HWY,3060,Nashua,NH,42.708162,-71.438405,1,rooftop,262,Daniel Webster Hwy,Nashua,NH,Hillsborough County,3060,US,City of Nashua,2015,33,33011,3350260,011102,2003,2,"Manchester-Nashua, NH",31700,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US12099007505,15,Boca Raton,855 S Federal Hwy,33432,Boca Raton,FL,26.342329,-80.086958,1,rooftop,855,S Federal Hwy,Boca Raton,FL,Palm Beach County,33432,US,Palm Beach County,2015,12,12099,1207300,007505,2022,2,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370
14000US19049050811,16,West Des Moines,6305 Mills Civic Parkway,50266,West Des Moines,IA,41.560882,-93.795144,1,rooftop,6305,Mills Civic Pkwy,West Des Moines,IA,Dallas County,50266,US,Dallas,2015,19,19049,1983910,050811,2126,2,"Des Moines-West Des Moines, IA",19780,metropolitan,"Des Moines-Ames-West Des Moines, IA",218
14000US39061024001,17,Cincinnati,7788 Montgomery Road,45236,Cincinnati,OH,39.197372,-84.381737,1,rooftop,7788,Montgomery Rd,Cincinnati,OH,Hamilton County,45236,US,Hamilton,2015,39,39061,3915000,024001,6000,6,"Cincinnati, OH-KY-IN",17140,metropolitan,"Cincinnati-Wilmington-Maysville, OH-KY-IN",178
14000US25001015300,18,Hyannis*,"655 Route 132, Unit 4-A",2601,Hyannis,MA,41.65289,-70.2828,0.33,place,0,0,Hyannis,MA,Barnstable County,2601,US,TIGER/Line® dataset from the US Census Bureau,2015,25,25001,2531820,015300,2023,2,"Barnstable Town, MA",12700,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US35001003732,19,Albuquerque,8928 Holly Ave. NE,87122,Albuquerque,NM,35.175207,-106.542933,0.9,rooftop,8928,Holly Ave NE,Albuquerque,NM,Bernalillo County,87113,US,Albuquerque,2015,35,35001,3502000,003732,2032,2,"Albuquerque, NM",10740,metropolitan,"Albuquerque-Santa Fe-Las Vegas, NM",106
14000US41005021601,20,Clackamas,9345 SE 82nd Ave,97086,Happy Valley,OR,45.451595,-122.579165,1,range_interpolation,9345,SE 82nd Ave,Happy Valley,OR,Clackamas County,97086,US,TIGER/Line® dataset from the US Census Bureau,2015,41,41005,0,021601,2025,2,"Portland-Vancouver-Hillsboro, OR-WA",38900,metropolitan,"Portland-Vancouver-Salem, OR-WA",440
